district	state	districtno	incumbent	party	gopcode	support	oppose	strongsupport	strongoppose	clinton	trump	id
MS-01	MS	01	Rep. Kelly	R	1	43	39	14	27	32.4	65.4	2801
MS-04	MS	04	Rep. Palazzo	R	1	45	36	15	24	28.2	69.4	2804
NC-02	NC	02	Rep. Holding	R	1	36	47	12	35	43.6	53.2	3702
NC-13	NC	13	Rep. Budd	R	1	36	47	12	35	44	53.4	3713
NC-09	NC	09	Rep. Pittenger	R	1	37	46	12	34	42.8	54.4	3709
NC-05	NC	05	Rep. Foxx	R	1	38	44	13	32	39.8	57.4	3705
NC-06	NC	06	Rep. Walker	R	1	38	45	12	33	41.4	56.1	3706
NC-08	NC	08	Rep. Hudson	R	1	38	45	12	33	41.1	56.1	3708
NC-07	NC	07	Rep. Rouzer	R	1	39	44	13	32	39.9	57.6	3707
NC-03	NC	03	Rep. Jones	R	1	40	42	13	30	36.9	60.5	3703
NC-10	NC	10	Rep. McHenry	R	1	40	42	13	30	36.4	61	3710
NC-11	NC	11	Rep. Meadows	R	1	42	40	14	28	34	63.2	3711
ND-00	ND	00	Rep. Cramer	R	1	43	38	14	26	27.7	64.1	3800
NE-02	NE	02	Rep. Bacon	R	1	34	49	11	37	46	48.2	3102
NE-01	NE	01	Rep. Fortenberry	R	1	39	43	13	31	36.2	57.5	3101
NE-03	NE	03	Rep. Smith	R	1	48	31	16	20	20	74.9	3103
NJ-07	NJ	07	Rep. Lance	R	1	33	50	11	38	48.6	47.5	3407
NJ-11	NJ	11	Rep. Frelinghuysen	R	1	34	50	11	38	47.9	48.8	3411
NJ-02	NJ	02	Rep. LoBiondo	R	1	35	48	11	36	46	50.6	3402
NJ-03	NJ	03	Rep. MacArthur	R	1	35	48	11	36	45.2	51.4	3403
NJ-04	NJ	04	Rep. Smith	R	1	38	45	12	33	41	55.8	3404
NM-02	NM	02	Rep. Pearce	R	1	36	46	12	34	39.9	50.1	3502
NV-02	NV	02	Rep. Amodei	R	1	37	46	12	34	39.7	52	3202
