id	population	place	location
3127036	732	Yeongjung-myeon	3127036 Yeongjung-myeon
3127037	484	Ildong-myeon	3127037 Ildong-myeon
3127038	195	Idong-myeon	3127038 Idong-myeon
3127039	162	Yeongbuk-myeon	3127039 Yeongbuk-myeon
3127040	220	Gwanin-myeon	3127040 Gwanin-myeon
3127041	500	Hwahyeon-myeon	3127041 Hwahyeon-myeon
3127051	435	Pocheon-dong	3127051 Pocheon-dong
3127052	2159	Seondan-dong	3127052 Seondan-dong
31280	3916	Yeoju-si	31280 Yeoju-si
3128011	830	Ganam-eup	3128011 Ganam-eup
3128031	158	Jeomdong-myeon	3128031 Jeomdong-myeon
3128032	325	Neungseo-myeon	3128032 Neungseo-myeon
3128033	570	Heungcheon-myeon	3128033 Heungcheon-myeon
3128034	107	Geumsa-myeon	3128034 Geumsa-myeon
3128035	71	Sanbuk-myeon	3128035 Sanbuk-myeon
3128036	489	Daesin-myeon	3128036 Daesin-myeon
3128037	195	Bungnae-myeon	3128037 Bungnae-myeon
3128038	118	Gangcheon-myeon	3128038 Gangcheon-myeon
3128051	427	Yeoheung-dong	3128051 Yeoheung-dong
3128052	422	Jungang-dong	3128052 Jungang-dong
3128053	204	Ohak-dong	3128053 Ohak-dong
31350	1175	Yeoncheon-gun	31350 Yeoncheon-gun
3135011	113	Yeoncheon-eup	3135011 Yeoncheon-eup
3135012	459	Jeongok-eup	3135012 Jeongok-eup
3135031	83	Gunnam-myeon	3135031 Gunnam-myeon
3135032	261	Cheongsan-myeon	3135032 Cheongsan-myeon
3135033	75	Baekhak-myeon	3135033 Baekhak-myeon
3135034	90	Misan-myeon	3135034 Misan-myeon
3135035	28	Wangjing-myeon	3135035 Wangjing-myeon
3135036	38	Sinseo-myeon	3135036 Sinseo-myeon
3135037		Jung-myeon	3135037 Jung-myeon
3135038	25	Jangnam-myeon	3135038 Jangnam-myeon
31370	1295	Gapyeong-gun	31370 Gapyeong-gun
3137011	228	Gapyeong-eup	3137011 Gapyeong-eup
3137031	564	Seorak-myeon	3137031 Seorak-myeon
3137032	217	Cheongpyeong-myeon	3137032 Cheongpyeong-myeon
3137033	86	Sang-myeon	3137033 Sang-myeon
3137034	108	Ha-myeon	3137034 Ha-myeon
3137035	92	Buk-myeon	3137035 Buk-myeon
31380	1928	Yangpyeong-gun	31380 Yangpyeong-gun
3138011	371	Yangpyeong-eup	3138011 Yangpyeong-eup
3138031	168	Gangsang-myeon	3138031 Gangsang-myeon
3138032	43	Gangha-myeon	3138032 Gangha-myeon
3138033	116	Yangseo-myeon	3138033 Yangseo-myeon
3138034	135	Okcheon-myeon	3138034 Okcheon-myeon
3138035	52	Seojong-myeon	3138035 Seojong-myeon
3138036	34	Danwol-myeon	3138036 Danwol-myeon
3138037	112	Cheongun-myeon	3138037 Cheongun-myeon
3138038	115	Yangdong-myeon	3138038 Yangdong-myeon
3138039	421	Jipyeong-myeon	3138039 Jipyeong-myeon
3138040	232	Yongmun-myeon	3138040 Yongmun-myeon
3138041	129	Gaegun-myeon	3138041 Gaegun-myeon
32	18306	Gangwon-do	32 Gangwon-do
32004	3651	Total for eups	32004 Total for eups
32005	5833	Total for myeons	32005 Total for myeons
32003	8822	Total for dongs	32003 Total for dongs
32010	3582	Chuncheon-si	32010 Chuncheon-si
3201011	96	Sinbuk-eup	3201011 Sinbuk-eup
3201031	178	Dong-myeon	3201031 Dong-myeon
3201032	29	Dongsan-myeon	3201032 Dongsan-myeon
3201033	38	Sindong-myeon	3201033 Sindong-myeon
3201034	117	Dongnae-myeon	3201034 Dongnae-myeon
3201035	10	Nam-myeon	3201035 Nam-myeon
3201036	81	Namsan-myeon	3201036 Namsan-myeon
3201037	34	Seo-myeon	3201037 Seo-myeon
3201038	43	Sabuk-myeon	3201038 Sabuk-myeon
3201039	7	Buksan-myeon	3201039 Buksan-myeon
3201052	92	Gyo-dong	3201052 Gyo-dong
3201053	27	Jowun-dong	3201053 Jowun-dong
3201054	17	Yaksamyeong-dong	3201054 Yaksamyeong-dong
3201057	62	Geunhwa-dong	3201057 Geunhwa-dong
3201058	135	Soyang-dong	3201058 Soyang-dong
3201060	471	Hupyeong 1(il)-dong	3201060 Hupyeong 1(il)-dong
3201061	168	Hupyeong 2(i)-dong	3201061 Hupyeong 2(i)-dong
3201062	102	Hupyeong 3(sam)-dong	3201062 Hupyeong 3(sam)-dong
3201063	43	Hyoja 1(il)-dong	3201063 Hyoja 1(il)-dong
3201064	916	Hyoja 2(i)-dong	3201064 Hyoja 2(i)-dong
3201065	141	Hyoja 3(sam)-dong	3201065 Hyoja 3(sam)-dong
3201066	246	Seoksa-dong	3201066 Seoksa-dong
3201067	238	Toegye-dong	3201067 Toegye-dong
3201068	93	Gangnam-dong	3201068 Gangnam-dong
3201071	198	Sinsau-dong	3201071 Sinsau-dong
32020	3682	Wonju-si	32020 Wonju-si
3202011	909	Munmak-eup	3202011 Munmak-eup
3202031	108	Socho-myeon	3202031 Socho-myeon
3202032	90	Hojeo-myeon	3202032 Hojeo-myeon
3202033	228	Jijeong-myeon	3202033 Jijeong-myeon
3202034	52	Buron-myeon	3202034 Buron-myeon
3202035	24	Gwirae-myeon	3202035 Gwirae-myeon
3202036	388	Heungeop-myeon	3202036 Heungeop-myeon
3202037	68	Panbu-myeon	3202037 Panbu-myeon
3202038	42	Sillim-myeon	3202038 Sillim-myeon
3202051	39	Jungang-dong	3202051 Jungang-dong
3202052	31	Wonin-dong	3202052 Wonin-dong
3202053	64	Gaeun-dong	3202053 Gaeun-dong
3202054	58	Myeongnyun 1(il)-dong	3202054 Myeongnyun 1(il)-dong
3202055	94	Myeongnyun 2(i)-dong	3202055 Myeongnyun 2(i)-dong
3202056	286	Dangu-dong	3202056 Dangu-dong
3202057	80	Ilsan-dong	3202057 Ilsan-dong
3202058	43	Hakseong-dong	3202058 Hakseong-dong
3202060	155	Dangye-dong	3202060 Dangye-dong
3202061	240	Usan-dong	3202061 Usan-dong
3202062	56	Taejang 1(il)-dong	3202062 Taejang 1(il)-dong
3202063	254	Taejang 2(i)-dong	3202063 Taejang 2(i)-dong
3202064	23	Bongsan-dong	3202064 Bongsan-dong
3202066	32	Haenggu-dong	3202066 Haenggu-dong
3202067	175	Musil-dong	3202067 Musil-dong
3202068	143	Bangokgwanseol-dong	3202068 Bangokgwanseol-dong
32030	2124	Gangneung-si	32030 Gangneung-si
3203011	315	Jumunjin-eup	3203011 Jumunjin-eup
3203031	77	Seongsan-myeon	3203031 Seongsan-myeon
3203032	22	Wangsan-myeon	3203032 Wangsan-myeon
3203033	16	Gujeong-myeon	3203033 Gujeong-myeon
3203034	68	Gangdong-myeon	3203034 Gangdong-myeon
3203035	42	Okgye-myeon	3203035 Okgye-myeon
3203036	47	Sacheon-myeon	3203036 Sacheon-myeon
3203037	55	Yeongok-myeon	3203037 Yeongok-myeon
3203051	83	Hongje-dong	3203051 Hongje-dong
3203052	63	Jungang-dong	3203052 Jungang-dong
3203054	28	Okcheon-dong	3203054 Okcheon-dong
3203055	180	Gyo 1(il)-dong	3203055 Gyo 1(il)-dong
3203056	67	Gyo 2(i)-dong	3203056 Gyo 2(i)-dong
3203057	75	Ponam 1(il)-dong	3203057 Ponam 1(il)-dong
3203058	73	Ponam 2(i)-dong	3203058 Ponam 2(i)-dong
3203059	46	Chodang-dong	3203059 Chodang-dong
3203060	148	Songjeong-dong	3203060 Songjeong-dong
3203061	216	Naegok-dong	3203061 Naegok-dong
3203062	112	Gangnam-dong	3203062 Gangnam-dong
3203065	111	Seongdeok-dong	3203065 Seongdeok-dong
3203067	280	Gyeongpo-dong	3203067 Gyeongpo-dong
32040	765	Donghae-si	32040 Donghae-si
3204051	207	Cheongok-dong	3204051 Cheongok-dong
3204052	61	Songjeong-dong	3204052 Songjeong-dong
3204053	101	Buksam-dong	3204053 Buksam-dong
3204054	26	Bugok-dong	3204054 Bugok-dong
3204055	31	Dongho-dong	3204055 Dongho-dong
3204057	23	Balhan-dong	3204057 Balhan-dong
3204059	145	Mukho-dong	3204059 Mukho-dong
3204060	134	Bukpyeong-dong	3204060 Bukpyeong-dong
3204063	27	Mangsang-dong	3204063 Mangsang-dong
3204065	10	Samhwa-dong	3204065 Samhwa-dong
32050	315	Taebaek-si	32050 Taebaek-si
3205051	38	Hwangji-dong	3205051 Hwangji-dong
3205052	41	Hwangyeon-dong	3205052 Hwangyeon-dong
3205053	63	Samsu-dong	3205053 Samsu-dong
3205054	111	Sangjang-dong	3205054 Sangjang-dong
3205055	19	Gumunso-dong	3205055 Gumunso-dong
3205056	12	Jangseong-dong	3205056 Jangseong-dong
3205058	20	Cheoram-dong	3205058 Cheoram-dong
3205062	11	Mungoksodo-dong	3205062 Mungoksodo-dong
32060	1164	Sokcho-si	32060 Sokcho-si
3206051	69	Yeongnang-dong	3206051 Yeongnang-dong
3206052	30	Dongmyeong-dong	3206052 Dongmyeong-dong
3206054	89	Geumho-dong	3206054 Geumho-dong
3206056	127	Gyo-dong	3206056 Gyo-dong
3206057	438	Nohak-dong	3206057 Nohak-dong
3206058	125	Joyang-dong	3206058 Joyang-dong
3206059	195	Cheongho-dong	3206059 Cheongho-dong
3206060	91	Daepo-dong	3206060 Daepo-dong
32070	725	Samcheok-si	32070 Samcheok-si
3207011	73	Dogye-eup	3207011 Dogye-eup
3207012	53	Wondeok-eup	3207012 Wondeok-eup
3207031	97	Geundeok-myeon	3207031 Geundeok-myeon
3207032	13	Hajang-myeon	3207032 Hajang-myeon
3207033		Nogok-myeon	3207033 Nogok-myeon
3207034	38	Miro-myeon	3207034 Miro-myeon
3207035	8	Gagok-myeon	3207035 Gagok-myeon
3207036	67	Singi-myeon	3207036 Singi-myeon
3207051	66	Namyang-dong	3207051 Namyang-dong
3207052	61	Seongnae-dong	3207052 Seongnae-dong
3207053	78	Gyo-dong	3207053 Gyo-dong
3207054	169	Jeongna-dong	3207054 Jeongna-dong
32310	1064	Hongcheon-gun	32310 Hongcheon-gun
3231011	312	Hongcheon-eup	3231011 Hongcheon-eup
3231031	70	Hwachon-myeon	3231031 Hwachon-myeon
3231032	25	Duchon-myeon	3231032 Duchon-myeon
3231033	52	Naechon-myeon	3231033 Naechon-myeon
3231034	95	Seoseok-myeon	3231034 Seoseok-myeon
3231035	30	Dong-myeon	3231035 Dong-myeon
3231036	92	Nam-myeon	3231036 Nam-myeon
3231037	39	Seo-myeon	3231037 Seo-myeon
3231038	77	Bukbang-myeon	3231038 Bukbang-myeon
3231039	272	Nae-myeon	3231039 Nae-myeon
32320	780	Hoengseong-gun	32320 Hoengseong-gun
3232011	230	Hoengseong-eup	3232011 Hoengseong-eup
3232031	214	Ucheon-myeon	3232031 Ucheon-myeon
3232032	66	Anheung-myeon	3232032 Anheung-myeon
3232033	110	Dunnae-myeon	3232033 Dunnae-myeon
3232034	36	Gapcheon-myeon	3232034 Gapcheon-myeon
3232035	26	Cheongil-myeon	3232035 Cheongil-myeon
3232036	52	Gonggeun-myeon	3232036 Gonggeun-myeon
3232037	29	Seowon-myeon	3232037 Seowon-myeon
3232038	17	Gangnim-myeon	3232038 Gangnim-myeon
32330	469	Yeongwol-gun	32330 Yeongwol-gun
3233011	132	Yeongwol-eup	3233011 Yeongwol-eup
3233012	11	Sangdong-eup	3233012 Sangdong-eup
3233031	5	Jungdong-myeon	3233031 Jungdong-myeon
3233033	217	Buk-myeon	3233033 Buk-myeon
3233034	34	Nam-myeon	3233034 Nam-myeon
3233036	18	Jucheon-myeon	3233036 Jucheon-myeon
3233037	15	Suju-myeon	3233037 Suju-myeon
3233038	13	Gimsatgat-myeon	3233038 Gimsatgat-myeon
3233039	24	Hanbando-myeon	3233039 Hanbando-myeon
32340	570	Pyeongchang-gun	32340 Pyeongchang-gun
3234011	101	Pyeongchang-eup	3234011 Pyeongchang-eup
3234031	20	Mitan-myeon	3234031 Mitan-myeon
3234032	67	Bangnim-myeon	3234032 Bangnim-myeon
3234033	59	Daehwa-myeon	3234033 Daehwa-myeon
3234034	50	Bongpyeong-myeon	3234034 Bongpyeong-myeon
3234035	37	Yongpyeong-myeon	3234035 Yongpyeong-myeon
3234036	139	Jinbu-myeon	3234036 Jinbu-myeon
3234037	97	Daegwallyeong-myeon	3234037 Daegwallyeong-myeon
32350	335	Jeongseon-gun	32350 Jeongseon-gun
3235011	57	Jeongseon-eup	3235011 Jeongseon-eup
3235012	34	Gohan-eup	3235012 Gohan-eup
3235013	23	Sabuk-eup	3235013 Sabuk-eup
3235014	33	Sindong-eup	3235014 Sindong-eup
3235032	53	Nam-myeon	3235032 Nam-myeon
3235034	33	Bukpyeong-myeon	3235034 Bukpyeong-myeon
3235035	51	Imgye-myeon	3235035 Imgye-myeon
3235036	26	Hwaam-myeon	3235036 Hwaam-myeon
3235037	25	Yeoryang-myeon	3235037 Yeoryang-myeon
32360	824	Cheorwon-gun	32360 Cheorwon-gun
3236011	59	Cheorwon-eup	3236011 Cheorwon-eup
3236012	89	Gimhwa-eup	3236012 Gimhwa-eup
3236013	258	Galmal-eup	3236013 Galmal-eup
3236014	168	Dongsong-eup	3236014 Dongsong-eup
3236021		Geunbuk-myeon	3236021 Geunbuk-myeon
3236031	125	Seo-myeon	3236031 Seo-myeon
3236032	121	Geunnam-myeon	3236032 Geunnam-myeon
32370	268	Hwacheon-gun	32370 Hwacheon-gun
3237011	42	Hwacheon-eup	3237011 Hwacheon-eup
3237031	38	Gandong-myeon	3237031 Gandong-myeon
3237032	46	Hanam-myeon	3237032 Hanam-myeon
3237033	22	Sangseo-myeon	3237033 Sangseo-myeon
3237034	120	Sanae-myeon	3237034 Sanae-myeon
32380	335	Yanggu-gun	32380 Yanggu-gun
3238011	142	Yanggu-eup	3238011 Yanggu-eup
3238031	78	Nam-myeon	3238031 Nam-myeon
3238032	24	Dong-myeon	3238032 Dong-myeon
3238033	13	Bangsan-myeon	3238033 Bangsan-myeon
3238034	78	Haean-myeon	3238034 Haean-myeon
32390	439	Inje-gun	32390 Inje-gun
3239011	143	Inje-eup	3239011 Inje-eup
3239031	53	Nam-myeon	3239031 Nam-myeon
3239032	72	Buk-myeon	3239032 Buk-myeon
3239033	76	Girin-myeon	3239033 Girin-myeon
3239034	20	Seohwa-myeon	3239034 Seohwa-myeon
3239035	75	Sangnam-myeon	3239035 Sangnam-myeon
32400	525	Goseong-gun	32400 Goseong-gun
3240011	46	Ganseong-eup	3240011 Ganseong-eup
3240012	215	Geojin-eup	3240012 Geojin-eup
3240031	38	Hyeonnae-myeon	3240031 Hyeonnae-myeon
3240032	42	Jugwang-myeon	3240032 Jugwang-myeon
3240033	184	Toseong-myeon	3240033 Toseong-myeon
32410	340	Yangyang-gun	32410 Yangyang-gun
3241011	110	Yangyang-eup	3241011 Yangyang-eup
3241031	50	Seo-myeon	3241031 Seo-myeon
3241032	49	Sonyang-myeon	3241032 Sonyang-myeon
3241033	31	Hyeonbuk-myeon	3241033 Hyeonbuk-myeon
3241034	52	Hyeonnam-myeon	3241034 Hyeonnam-myeon
3241035	48	Ganghyeon-myeon	3241035 Ganghyeon-myeon
33	40758	Chungcheongbuk-do	33 Chungcheongbuk-do
33004	9058	Total for eups	33004 Total for eups
33005	18396	Total for myeons	33005 Total for myeons
33003	13304	Total for dongs	33003 Total for dongs
33020	4815	Chungju-si	33020 Chungju-si
3302011	393	Judeok-eup	3302011 Judeok-eup
3302031	15	Salmi-myeon	3302031 Salmi-myeon
3302032	44	Suanbo-myeon	3302032 Suanbo-myeon
3302034	212	Sinni-myeon	3302034 Sinni-myeon
3302035	81	Noeun-myeon	3302035 Noeun-myeon
3302036	80	Angseong-myeon	3302036 Angseong-myeon
3302038	124	Geumga-myeon	3302038 Geumga-myeon
3302039	72	Dongnyang-myeon	3302039 Dongnyang-myeon
3302040	61	Sancheok-myeon	3302040 Sancheok-myeon
3302041	72	Eomjeong-myeon	3302041 Eomjeong-myeon
3302042	64	Sotae-myeon	3302042 Sotae-myeon
3302043	539	Daesowon-myeon	3302043 Daesowon-myeon
3302044	162	Jungangtap-myeon	3302044 Jungangtap-myeon
3302051	75	Seongnaechungin-dong	3302051 Seongnaechungin-dong
3302053	148	Gyohyeonalim-dong	3302053 Gyohyeonalim-dong
3302054	283	Gyohyeon 2(i)-dong	3302054 Gyohyeon 2(i)-dong
3302055	85	Yongsan-dong	3302055 Yongsan-dong
3302056	29	Jihyeon-dong	3302056 Jihyeon-dong
3302057	180	Munhwa-dong	3302057 Munhwa-dong
3302058	60	Hoamjik-dong	3302058 Hoamjik-dong
3302060	686	Dalcheon-dong	3302060 Dalcheon-dong
3302061	218	Bongbang-dong	3302061 Bongbang-dong
3302062	130	Chilgeumgeumneung-dong	3302062 Chilgeumgeumneung-dong
3302063	355	Yeonsu-dong	3302063 Yeonsu-dong
3302064	647	Mokhaengyongtan-dong	3302064 Mokhaengyongtan-dong
33030	1684	Jecheon-si	33030 Jecheon-si
3303011	106	Bongyang-eup	3303011 Bongyang-eup
3303031	38	Geumseong-myeon	3303031 Geumseong-myeon
3303032	13	Cheongpung-myeon	3303032 Cheongpung-myeon
3303033	17	Susan-myeon	3303033 Susan-myeon
3303034	27	Deoksan-myeon	3303034 Deoksan-myeon
3303035		Hansu-myeon	3303035 Hansu-myeon
3303036	41	Baegun-myeon	3303036 Baegun-myeon
3303037	57	Songhak-myeon	3303037 Songhak-myeon
3303051	97	Gyo-dong	3303051 Gyo-dong
3303056	459	Yongdu-dong	3303056 Yongdu-dong
3303059	264	Cheongjeon-dong	3303059 Cheongjeon-dong
3303060	197	Hwasan-dong	3303060 Hwasan-dong
3303068	105	Uiam-dong	3303068 Uiam-dong
3303069	67	Insung-dong	3303069 Insung-dong
3303070	40	Namhyeon-dong	3303070 Namhyeon-dong
3303071	80	Yeongseo-dong	3303071 Yeongseo-dong
3303072	72	Sinbaek-dong	3303072 Sinbaek-dong
33040	13722	Chungju-si	33040 Chungju-si
33041	1233	Sangdang-gu	33041 Sangdang-gu
3304131	63	Nangseong-myeon	3304131 Nangseong-myeon
3304132	118	Miwon-myeon	3304132 Miwon-myeon
3304133	101	Gadeok-myeon	3304133 Gadeok-myeon
3304134	89	Namil-myeon	3304134 Namil-myeon
3304135	49	Munui-myeon	3304135 Munui-myeon
3304151	81	Jungang-dong	3304151 Jungang-dong
3304152	99	Seongan-dong	3304152 Seongan-dong
3304153	54	Tapdaeseong-dong	3304153 Tapdaeseong-dong
3304154	93	Yeongun-dong	3304154 Yeongun-dong
3304155	132	Geumcheon-dong	3304155 Geumcheon-dong
3304156	25	Yongdammyeongamsanseong-dong	3304156 Yongdammyeongamsanseong-dong
3304157	231	Yongam 1(il)-dong	3304157 Yongam 1(il)-dong
3304158	98	Yongam 2(I)-dong	3304158 Yongam 2(I)-dong
33042	3002	Seowon-gu	33042 Seowon-gu
3304231	234	Nami-myeon	3304231 Nami-myeon
3304232	147	Hyeondo-myeon	3304232 Hyeondo-myeon
3304251	81	Sajik 1(il)-dong	3304251 Sajik 1(il)-dong
3304252	60	Sajik 2(i)-dong	3304252 Sajik 2(i)-dong
3304253	617	Sachang-dong	3304253 Sachang-dong
3304254	176	Mochung-dong	3304254 Mochung-dong
3304255	159	Sannam-dong	3304255 Sannam-dong
3304256	121	Bunpyeong-dong	3304256 Bunpyeong-dong
3304257	129	Sugok 1(il)-dong	3304257 Sugok 1(il)-dong
3304258	142	Sugok 2(i)-dong	3304258 Sugok 2(i)-dong
3304259	1136	Seonghwagaesinjungnim-dong	3304259 Seonghwagaesinjungnim-dong
33043	4887	Heungdeok-gu	33043 Heungdeok-gu
3304311	312	Osong-eup	3304311 Osong-eup
3304331	519	Gangnae-myeon	3304331 Gangnae-myeon
3304332	420	Oksan-myeon	3304332 Oksan-myeon
3304351	124	Uncheonsinbong-dong	3304351 Uncheonsinbong-dong
3304352	747	Bokdae 1(il)-dong	3304352 Bokdae 1(il)-dong
3304353	838	Bokdae 2(i)-dong	3304353 Bokdae 2(i)-dong
3304354	388	Gagyeong-dong	3304354 Gagyeong-dong
3304355	614	Bongmyeong 1(il)-dong	3304355 Bongmyeong 1(il)-dong
3304356	677	Bongmyeong 2(i)早songjeong-dong	3304356 Bongmyeong 2(i)早songjeong-dong
3304357	202	Gangseo 1(il)-dong	3304357 Gangseo 1(il)-dong
3304358	46	Gangseo 2(i)-dong	3304358 Gangseo 2(i)-dong
33044	4600	Cheongwon-gu	33044 Cheongwon-gu
3304411	458	Naesu-eup	3304411 Naesu-eup
3304412	1451	Ochang-eup	3304412 Ochang-eup
3304431	734	Bugi-myeon	3304431 Bugi-myeon
3304451	93	Ogeunjang-dong	3304451 Ogeunjang-dong
3304452	473	Uam-dong	3304452 Uam-dong
3304453	116	Naedeok 1(il)-dong	3304453 Naedeok 1(il)-dong
3304454	926	Naedeok 2(i)-dong	3304454 Naedeok 2(i)-dong
3304455	349	Yullyangsacheon-dong	3304455 Yullyangsacheon-dong
33320	486	Boeun-gun	33320 Boeun-gun
3332011	173	Boeun-eup	3332011 Boeun-eup
3332031		Songnisan-myeon	3332031 Songnisan-myeon
3332032	59	Jangan-myeon	3332032 Jangan-myeon
3332033	34	Maro-myeon	3332033 Maro-myeon
3332034	17	Tanbu-myeon	3332034 Tanbu-myeon
3332035	33	Samseung-myeon	3332035 Samseung-myeon
3332036	36	Suhan-myeon	3332036 Suhan-myeon
3332037	16	Hoenam-myeon	3332037 Hoenam-myeon
3332038	37	Hoein-myeon	3332038 Hoein-myeon
3332039	36	Naebuk-myeon	3332039 Naebuk-myeon
3332040	42	Sanoe-myeon	3332040 Sanoe-myeon
33330	891	Okcheon-gun	33330 Okcheon-gun
3333011	380	Okcheon-eup	3333011 Okcheon-eup
3333031	178	Dongi-myeon	3333031 Dongi-myeon
3333032	8	Annam-myeon	3333032 Annam-myeon
3333033	58	Annae-myeon	3333033 Annae-myeon
3333034	24	Cheongseong-myeon	3333034 Cheongseong-myeon
3333035	57	Cheongsan-myeon	3333035 Cheongsan-myeon
3333036	71	Iwon-myeon	3333036 Iwon-myeon
3333037	87	Gunseo-myeon	3333037 Gunseo-myeon
3333038	28	Gunbuk-myeon	3333038 Gunbuk-myeon
33340	654	Yeongdong-gun	33340 Yeongdong-gun
3334011	222	Yeongdong-eup	3334011 Yeongdong-eup
3334031	176	Yongsan-myeon	3334031 Yongsan-myeon
3334032	51	Hwanggan-myeon	3334032 Hwanggan-myeon
3334033	22	Chupungnyeong-myeon	3334033 Chupungnyeong-myeon
3334034	37	Maegok-myeon	3334034 Maegok-myeon
3334035	30	Sangchon-myeon	3334035 Sangchon-myeon
3334036	33	Yanggang-myeon	3334036 Yanggang-myeon
3334037	5	Yonghwa-myeon	3334037 Yonghwa-myeon
3334038	39	Haksan-myeon	3334038 Haksan-myeon
3334039	10	Yangsan-myeon	3334039 Yangsan-myeon
3334040	29	Simcheon-myeon	3334040 Simcheon-myeon
33350	6323	Jincheon-gun	33350 Jincheon-gun
3335011	1541	Jincheon-eup	3335011 Jincheon-eup
3335031	1181	Deoksan-myeon	3335031 Deoksan-myeon
3335032	257	Chopyeong-myeon	3335032 Chopyeong-myeon
3335033	531	Munbaek-myeon	3335033 Munbaek-myeon
3335034	35	Baekgok-myeon	3335034 Baekgok-myeon
3335035	1877	Iwol-myeon	3335035 Iwol-myeon
3335036	901	Gwanghyewon-myeon	3335036 Gwanghyewon-myeon
33360	904	Goesan-gun	33360 Goesan-gun
3336011	255	Goesan-eup	3336011 Goesan-eup
3336031	31	Gammul-myeon	3336031 Gammul-myeon
3336032	11	Jangyeon-myeon	3336032 Jangyeon-myeon
3336033	25	Yeonpung-myeon	3336033 Yeonpung-myeon
3336034	29	Chilseong-myeon	3336034 Chilseong-myeon
3336035	31	Mungwang-myeon	3336035 Mungwang-myeon
3336036	35	Cheongcheon-myeon	3336036 Cheongcheon-myeon
3336037	146	Cheongan-myeon	3336037 Cheongan-myeon
3336038	208	Sari-myeon	3336038 Sari-myeon
3336039	86	Sosu-myeon	3336039 Sosu-myeon
3336040	47	Buljeong-myeon	3336040 Buljeong-myeon
33370	10288	Eumseong-gun	33370 Eumseong-gun
3337011	735	Eumseong-eup	3337011 Eumseong-eup
3337012	2278	Geumwang-eup	3337012 Geumwang-eup
3337031	121	Soi-myeon	3337031 Soi-myeon
3337032	208	Wonnam-myeon	3337032 Wonnam-myeon
3337033	622	Maengdong-myeon	3337033 Maengdong-myeon
3337034	3060	Daeso-myeon	3337034 Daeso-myeon
3337035	2074	Samseong-myeon	3337035 Samseong-myeon
3337036	682	Saenggeuk-myeon	3337036 Saenggeuk-myeon
3337037	508	Gamgok-myeon	3337037 Gamgok-myeon
33380	283	Danyang-gun	33380 Danyang-gun
3338011	77	Danyang-eup	3338011 Danyang-eup
3338012	64	Maepo-eup	3338012 Maepo-eup
3338031	15	Danseong-myeon	3338031 Danseong-myeon
3338032	42	Daegang-myeon	3338032 Daegang-myeon
3338033	13	Gagok-myeon	3338033 Gagok-myeon
3338034	32	Yeongchun-myeon	3338034 Yeongchun-myeon
3338035	15	Eosangcheon-myeon	3338035 Eosangcheon-myeon
3338036	25	Jeokseong-myeon	3338036 Jeokseong-myeon
33390	708	Jeungpyeong-gun	33390 Jeungpyeong-gun
3339014	613	Jeungpyeong-eup	3339014 Jeungpyeong-eup
3339031	95	Doan-myeon	3339031 Doan-myeon
34	71082	Chungcheongnam-do	34 Chungcheongnam-do
34004	14749	Total for eups	34004 Total for eups
34005	34613	Total for myeons	34005 Total for myeons
34003	21720	Total for dongs	34003 Total for dongs
34010	22059	Cheonan-si	34010 Cheonan-si
34011	9943	Dongnam-gu	34011 Dongnam-gu
3401111	572	Mokcheon-eup	3401111 Mokcheon-eup
3401131	362	Pungse-myeon	3401131 Pungse-myeon
3401132	312	Gwangdeok-myeon	3401132 Gwangdeok-myeon
3401133	168	Buk-myeon	3401133 Buk-myeon
3401134	779	Seongnam-myeon	3401134 Seongnam-myeon
3401135	662	Susin-myeon	3401135 Susin-myeon
3401136	539	Byeongcheon-myeon	3401136 Byeongcheon-myeon
3401137	485	Dong-myeon	3401137 Dong-myeon
3401151	395	Jungang-dong	3401151 Jungang-dong
3401152	445	Munseong-dong	3401152 Munseong-dong
3401153	259	Wonseong 1(il)-dong	3401153 Wonseong 1(il)-dong
3401154	352	Wonseong 2(i)-dong	3401154 Wonseong 2(i)-dong
3401155	680	Bongmyeong-dong	3401155 Bongmyeong-dong
3401156	308	Ilbong-dong	3401156 Ilbong-dong
3401157	418	Sinbang-dong	3401157 Sinbang-dong
3401158	827	Cheongnyong-dong	3401158 Cheongnyong-dong
3401159	2380	Sinan-dong	3401159 Sinan-dong
34012	12116	Sebuk-gu	34012 Sebuk-gu
3401211	2076	Seonghwan-eup	3401211 Seonghwan-eup
3401212	1270	Seonggeo-eup	3401212 Seonggeo-eup
3401213	2260	Jiksan-eup	3401213 Jiksan-eup
3401231	1601	Ipjang-myeon	3401231 Ipjang-myeon
3401251	656	Seongjeong 1(il)-dong	3401251 Seongjeong 1(il)-dong
3401252	978	Seongjeong 2(i)-dong	3401252 Seongjeong 2(i)-dong
3401253	193	Ssangyong 1(il)-dong	3401253 Ssangyong 1(il)-dong
3401254	405	Ssangyong 2(i)-dong	3401254 Ssangyong 2(i)-dong
3401255	183	Ssangyong 3(sam)-dong	3401255 Ssangyong 3(sam)-dong
3401258	434	Baekseok-dong	3401258 Baekseok-dong
3401259	220	Buldang-dong	3401259 Buldang-dong
3401260	914	Buseong 1(il)-dong	3401260 Buseong 1(il)-dong
3401261	926	Buseong 2(i)-dong	3401261 Buseong 2(i)-dong
34020	2137	Gongju-si	34020 Gongju-si
3402011	100	Yugu-eup	3402011 Yugu-eup
3402031	55	Iin-myeon	3402031 Iin-myeon
3402032	139	Tancheon-myeon	3402032 Tancheon-myeon
